file_name,text,y_position
scene_000_f1.jpg,안돼 안돼 안돼 oooo GoNyang,0.6943333333333334
scene_001_f26.jpg,안돼 안 돼 안 돼 GoNyang,0.6655
scene_002_f51.jpg,머릿속에서 GoNyang,0.665
scene_003_f76.jpg,머릿속에서 GoNyong,0.665
scene_004_f104.jpg,머릿속에서 GoNyang,0.665
scene_005_f131.jpg,그만뒤 바보라고 GoNyang,0.6645
scene_006_f158.jpg,외치늄 Morality GoNyang,0.665
scene_007_f195.jpg,외치논 Morality GoNyang,0.665
scene_008_f220.jpg,아 야 GoNyang,0.6655
scene_009_f245.jpg,아이리스 아웃 GoNyang,0.665
scene_010_f270.jpg,대체 어쩌지 GoNyang,0.6699999999999999
scene_011_f295.jpg,GoNyong,0.817
scene_012_f320.jpg,이 매음올 GoNyong,0.665
scene_013_f345.jpg,어쩌지 GoNyong,0.6645
scene_014_f370.jpg,GoNyong,0.817
scene_015_f395.jpg,설탕이 녹아서 GoNyong,0.665
scene_016_f420.jpg,설탕이 녹아서 GoNyang,0.665
scene_017_f447.jpg,GoNyong,0.817
scene_018_f474.jpg,GoNyang,0.817
scene_019_f499.jpg,동공이 활짝 열려세 GoNyang,0.665
scene_020_f539.jpg,43 GoNyong,0.7849999999999999
scene_021_f564.jpg,빠져 죽음 것 같아 GoNyong,0.665
scene_022_f594.jpg,GoNyong,0.817
scene_025_f673.jpg,너만이 완전 정답 GoNyang,0.665
